created_at,screen_name,text
2019-03-25 06:31:10,jeanettejoy,"Life of Pi was very special. Gandhi and To Sir, With Love favorites."
2019-03-25 06:31:24,jeanettejoy,Yeah that generation certainly delivered memorable movies 
2019-03-25 06:32:09,jeanettejoy,"No swearing, no violence, no sex... movies just concentrated on the story line & great acting. Bring it back!"
2019-03-25 06:32:27,jeanettejoy,#GoldenHearts 
2019-03-25 06:33:07,jeanettejoy,Yes! #Gerryisthebest
2019-03-25 06:33:18,jeanettejoy,"I'm all for seeing this movie, Les! "
2019-03-25 06:34:10,jeanettejoy,"I don’t know the best~ But the latest is “Fisherman’s Friends”… A very ‘English’ film, that tells how the power of fellowship & music can ultimately bring love & kindness into the world A proper, feel-good movie, with a happy ending that’s bound to bring a tear to your eye"
2019-03-25 06:34:55,jeanettejoy,Awesome #Cherub!
2019-03-25 07:10:12,jeanettejoy,"I've been a fan of hers for a long, long time."
2019-03-25 08:20:39,jeanettejoy,OFF TO THE PUBLISHER #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts 
2019-03-25 08:40:10,jeanettejoy,TODAY #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 08:41:35,jeanettejoy,MAKE YOURSELF HAPPY #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 08:42:10,jeanettejoy,#FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 09:05:01,jeanettejoy,MAKE MAGIC - BAM! #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts 
2019-03-25 09:15:19,jeanettejoy,Pretty!
2019-03-25 10:40:17,jeanettejoy,"So, to be or not to be, that's question!"
2019-03-25 06:45:18,jeanettejoy,This means have to go to Japan ..lots of sushi and bowing
2019-03-25 10:41:20,jeanettejoy,"Love that, Christine! If I could remember what I say, I could probably quote myself well."
2019-03-25 23:44:56,TomHall,b'\xf0\x9f\x90\xa2 \n\nA much needed \n\n#RandomActOfKindness \n\n\xf0\x9f\x90\xa2\n\nhttps://t.co/K9RjBowzPA'
2019-03-25 20:34:23,TomHall,b'Transport your\n\nhome anywhere!\n\n\xf0\x9f\x9a\x9a \xf0\x9f\x8f\xa0\n\n#MondayMotivation \n\nhttps://t.co/OodhHpfobk'
2019-03-25 19:01:00,TomHall,b'@FrankieTease @SteeOne Oakland is in Northern California - east of San Francisco.'
2019-03-25 17:00:34,TomHall,"b'""I told you that guy was low!""\n\nSmall plane makes an emergency landing on Interstate 580 near Oakland, California.\xe2\x80\xa6 https://t.co/8RYfvT7jJU'"
2019-03-25 12:53:46,TomHall,b'It takes just 20 minutes\n\nfor Beijing to be\n\nchoked by deadly smog!\n\n\xf0\x9f\x8c\x8e\n\n#Tech #ClimateAction #Yuck\xe2\x80\xa6 https://t.co/OkQsZ7cr0Y'
2019-03-25 05:27:19,TomHall,b'\xe2\x9c\x88\xef\xb8\x8f\n\nJust Perfect. \n\n\xe2\x9c\x88\xef\xb8\x8f\n\n#MondayMotivation \n\nhttps://t.co/XwZLy9KIJq'
2019-03-25 03:09:59,TomHall,b'\xf0\x9f\xa6\x8d\n\nA Mom\xe2\x80\x99s Life\n\n\xf0\x9f\xa6\x8d \n\nhttps://t.co/KWRUJyLhZy'
2019-03-25 03:02:10,TomHall,"b'My week on Twitter \xf0\x9f\x8e\x89: 7.39K Mentions, 1.28M Mention Reach, 103K Likes, 21.5K Retweets, 6.24K Replies. See yours wit\xe2\x80\xa6 https://t.co/sFyZ9RoZh5'"
